x,Ex,dx,q xÌ‚,px,ex
0,"7,044,346","100,111",0.009791,0.990209,73.74
1,"7,306,875","11,879",0.002526,0.997474,73.47
2,"7,871,143","7,073",0.001079,0.998921,72.65
3,"8,419,927","6,121",0.000701,0.999299,71.73
4,"8,911,682","6,551",0.000598,0.999402,70.78
5,"9,358,986","5,690",0.000578,0.999422,69.82
6,"9,846,267","5,614",0.000575,0.999425,68.86
7,"10,243,673","5,607",0.000566,0.999434,67.90
8,"10,579,001","6,020",0.000547,0.999453,66.94
9,"10,841,681","5,458",0.000523,0.999477,65.98
10,"11,022,771","5,512",0.000507,0.999493,65.01
11,"11,133,314","5,421",0.000504,0.999496,64.05
12,"11,173,337","6,047",0.000517,0.999483,63.08
13,"11,172,614","5,995",0.000543,0.999457,62.11
14,"11,214,073","6,286",0.000578,0.999422,61.14
15,"11,302,882","7,123",0.000620,0.999380,60.18
16,"11,283,282","7,962",0.000661,0.999339,59.22
17,"11,419,933","7,705",0.000697,0.999303,58.26
18,"11,645,478","8,142",0.000734,0.999266,57.30
19,"11,539,784","8,984",0.000776,0.999224,56.34
20,"11,366,129","10,012",0.000822,0.999178,55.38
21,"11,304,128","9,480",0.000865,0.999135,54.43
22,"11,179,287","9,880",0.000913,0.999087,53.47
23,"10,919,518","10,492",0.000967,0.999033,52.52
24,"10,839,374","11,886",0.001023,0.998977,51.57
25,"10,761,894","11,292",0.001076,0.998924,50.63
26,"10,602,609","11,573",0.001132,0.998868,49.68
27,"10,390,411","12,327",0.001196,0.998804,48.74
28,"10,272,875","13,828",0.001263,0.998737,47.80
29,"10,129,830","13,247",0.001327,0.998673,46.86
30,"9,974,162","13,387",0.001393,0.998607,45.92
31,"9,901,433","14,346",0.001468,0.998532,44.98
32,"9,917,035","16,436",0.001549,0.998451,44.05
33,"9,897,710","15,853",0.001632,0.998368,43.12
34,"9,932,422","16,564",0.001728,0.998272,42.19
35,"10,107,293","18,281",0.001846,0.998154,41.26
36,"10,198,132","21,678",0.001981,0.998019,40.34
37,"10,163,301","21,217",0.002123,0.997877,39.42
38,"10,175,883","22,613",0.002282,0.997718,38.50
39,"10,049,069","24,247",0.002468,0.997532,37.59
40,"9,743,145","27,905",0.002681,0.997319,36.68
41,"9,460,050","26,993",0.002911,0.997089,35.78
42,"9,278,367","28,635",0.003171,0.996829,34.89
43,"8,979,485","30,604",0.003475,0.996525,34.00
44,"8,744,051","35,620",0.003816,0.996184,33.12
45,"8,662,839","35,736",0.004182,0.995818,32.24
46,"8,503,918","37,985",0.004590,0.995410,31.38
47,"8,301,778","41,283",0.005064,0.994936,30.52
48,"8,254,305","49,068",0.005611,0.994389,29.68
49,"8,164,487","49,994",0.006223,0.993777,28.85
50,"7,860,564","52,737",0.006927,0.993073,28.03
51,"7,490,478","56,877",0.007738,0.992262,27.22
52,"7,244,325","66,907",0.008626,0.991374,26.43
53,"6,891,946","64,757",0.009534,0.990466,25.66
54,"6,534,884","66,502",0.010457,0.989543,24.91
55,"6,302,990","70,574",0.011404,0.988596,24.17
56,"6,089,598","80,066",0.012364,0.987636,23.45
57,"5,839,190","76,831",0.013315,0.986685,22.75
58,"5,659,067","78,122",0.014309,0.985691,22.05
59,"5,445,726","82,598",0.015405,0.984595,21.37
60,"5,178,112","91,283",0.016604,0.983396,20.71
61,"4,937,742","85,636",0.017867,0.982133,20.06
62,"4,611,495","87,248",0.019201,0.980799,19.42
63,"4,228,161","86,090",0.020585,0.979415,18.80
64,"3,944,298","92,484",0.021962,0.978038,18.20
65,"3,688,748","83,889",0.023274,0.976726,17.61
66,"3,452,592","82,397",0.024568,0.975432,17.03
67,"3,247,337","83,398",0.025899,0.974101,16.45
68,"3,012,159","87,341",0.027284,0.972716,15.89
69,"2,713,653","75,542",0.028732,0.971268,15.34
70,"2,412,053","69,885",0.030301,0.969699,14.79
71,"2,135,572","67,424",0.032002,0.967998,14.25
72,"1,908,155","71,179",0.033755,0.966245,13.73
73,"1,699,334","58,720",0.035455,0.964545,13.20
74,"1,544,224","55,527",0.037098,0.962902,12.69
75,"1,489,103","55,477",0.038713,0.961287,12.18
76,"1,441,776","62,974",0.040318,0.959682,11.67
77,"1,341,393","56,532",0.041931,0.958069,11.16
78,"1,268,452","52,910",0.043665,0.956335,10.65
79,"1,174,561","53,299",0.045679,0.954321,10.13
80,"1,012,815","50,331",0.048105,0.951895,9.62
81,"870,874","42,255",0.051056,0.948944,9.11
82,"735,488","37,796",0.054637,0.945363,8.60
83,"592,105","30,902",0.058904,0.941096,8.09
84,"506,748","29,440",0.063869,0.936131,7.60
85,"444,484","23,777",0.069532,0.930468,7.12
86,"393,011","21,497",0.075921,0.924079,6.65
87,"355,259","19,960",0.083101,0.916899,6.19
88,"325,513","18,729",0.091181,0.908819,5.76
89,"289,147","16,144",0.100295,0.899705,5.33
90,"249,966","13,730",0.110590,0.889410,4.93
91,"214,246","12,961",0.122198,0.877802,4.54
92,"162,923","11,928",0.135220,0.864780,4.17
93,"119,403","7,621",0.149714,0.850286,3.83
94,"98,780","6,659",0.165699,0.834301,3.50
95,"78,581","5,435",0.183166,0.816834,3.19
96,"62,829","4,654",0.202084,0.797916,2.91
97,"50,144","3,381",0.222408,0.777592,2.65
98,"39,235","2,201",0.244075,0.755925,2.41
99,"29,655","1,675",0.267009,0.732991,2.18
100,"21,425","1,241",0.291119,0.708881,1.98
101,"15,220",923,0.316297,0.683703,1.79
102,"9,030",615,0.342423,0.657577,1.62
103,"5,099",295,0.369364,0.630636,1.46
104,"3,915",268,0.396967,0.603033,1.32
105,"3,231",168,0.425069,0.574931,1.18
106,"2,705",138,0.453489,0.546511,1.06
107,"2,031",100,0.482033,0.517967,0.94
108,"1,490",88,0.510493,0.489507,0.81
109,922,78,0.538649,0.461351,0.66
110,275,37,0.566271,0.433729,0.43
111,1,1,1.000000,0.000000,0.00
